chemical,activity,dosage,reference
(+)-CATECHIN,ACE-Inhibitor,IC50=0.155 mM/l,"Duke, 1992 *"
(+)-CATECHIN,ACE-Inhibitor,0.24 mg/ml rbt (weak activity),"Duke, 1992 *"
(+)-CATECHIN,Antiaggregant,IC68=200 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Anticoagulant,not available,"Duke, 1992 *"
(+)-CATECHIN,Anticomplementary,1/2 aspirin,"Duke, 1992 *"
(+)-CATECHIN,AntiHIV,EC50=4 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Antiinflammatory,IC50=40-943 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,Antimutagenic,ID50=50-100 nM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(+)-CATECHIN,Antioxidant,not available,"Duke, 1992 *"
(+)-CATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Antiprostaglandin,IC50=40-943 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,Antiradicular,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Antiulcer,not available,"Duke, 1992 *"
(+)-CATECHIN,Beta-Adrenergic Receptor Blocker,10 uM (weak activity),"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(+)-CATECHIN,cAMP-Phosphodiesterase-Inhibitor,not available,"Duke, 1992 *"
(+)-CATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(+)-CATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(+)-CATECHIN,COX-1-Inhibitor,IC50=183-279 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,COX-2-Inhibitor,"IC50=546-5,910 uM (cf indomethacin IC50=1 uM)","Duke, 1992 *"
(+)-CATECHIN,Cyclooxygenase-Inhibitor,not available,"Duke, 1992 *"
(+)-CATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Dermatitigenic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Hemostat,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Hepatoprotective,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Immunostimulant,not available,"Economic & Medicinal Plant Research, 1: 124."
(+)-CATECHIN,Neuroprotective,1-10 uM,"Duke, 1992 *"
(+)-CATECHIN,NO-Inhibitor,IC11=250 uM,"Duke, 1992 *"
(+)-CATECHIN,Phagocytotic,not available,"Economic & Medicinal Plant Research, 1: 124."
(+)-CATECHIN,Vasoconstrictor,not available,"Leung, A.Y., Encyclopedia of Common Natural Ingredients Used in Food, Drugs, and Cosmetics, John Wiley & Sons, New York, 1980."
(+)-CATECHIN,Xanthine-Oxidase-Inhibitor,not available,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
(+)-CATECHIN,ACE-Inhibitor,IC50=0.155 mM/l,"Duke, 1992 *"
(+)-CATECHIN,ACE-Inhibitor,0.24 mg/ml rbt (weak activity),"Duke, 1992 *"
(+)-CATECHIN,Antiaggregant,IC68=200 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Anticoagulant,not available,"Duke, 1992 *"
(+)-CATECHIN,Anticomplementary,1/2 aspirin,"Duke, 1992 *"
(+)-CATECHIN,AntiHIV,EC50=4 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Antiinflammatory,IC50=40-943 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,Antimutagenic,ID50=50-100 nM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(+)-CATECHIN,Antioxidant,not available,"Duke, 1992 *"
(+)-CATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Antiprostaglandin,IC50=40-943 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,Antiradicular,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Antiulcer,not available,"Duke, 1992 *"
(+)-CATECHIN,Beta-Adrenergic Receptor Blocker,10 uM (weak activity),"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(+)-CATECHIN,cAMP-Phosphodiesterase-Inhibitor,not available,"Duke, 1992 *"
(+)-CATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(+)-CATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(+)-CATECHIN,COX-1-Inhibitor,IC50=183-279 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,COX-2-Inhibitor,"IC50=546-5,910 uM (cf indomethacin IC50=1 uM)","Duke, 1992 *"
(+)-CATECHIN,Cyclooxygenase-Inhibitor,not available,"Duke, 1992 *"
(+)-CATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Dermatitigenic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Hemostat,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Hepatoprotective,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Immunostimulant,not available,"Economic & Medicinal Plant Research, 1: 124."
(+)-CATECHIN,Neuroprotective,1-10 uM,"Duke, 1992 *"
(+)-CATECHIN,NO-Inhibitor,IC11=250 uM,"Duke, 1992 *"
(+)-CATECHIN,Phagocytotic,not available,"Economic & Medicinal Plant Research, 1: 124."
(+)-CATECHIN,Vasoconstrictor,not available,"Leung, A.Y., Encyclopedia of Common Natural Ingredients Used in Food, Drugs, and Cosmetics, John Wiley & Sons, New York, 1980."
(+)-CATECHIN,Xanthine-Oxidase-Inhibitor,not available,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
(+)-CATECHIN,ACE-Inhibitor,IC50=0.155 mM/l,"Duke, 1992 *"
(+)-CATECHIN,ACE-Inhibitor,0.24 mg/ml rbt (weak activity),"Duke, 1992 *"
(+)-CATECHIN,Antiaggregant,IC68=200 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Anticoagulant,not available,"Duke, 1992 *"
(+)-CATECHIN,Anticomplementary,1/2 aspirin,"Duke, 1992 *"
(+)-CATECHIN,AntiHIV,EC50=4 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Antiinflammatory,IC50=40-943 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
