chemical,plant,plant_part,low_ppm,high_ppm,std_dev,reference
(-)-TRANS-ISO-MENTH-5-EN-2-OL,Zea mays,Plant,not available,not available,not available,"Duke, 1992 *"
"1,1-DIPHENYL-ETHANE",Zea mays,Leaf,not available,not available,not available,"Duke, J. A. Writeups or information summaries on approximately 2,000 economic plants, USDA, ARS, Beltsville, MD 20705."
"1,2,3-TRIMETHYL-BENZENE",Juglans nigra,Essential Oil,not available,9000.0,not available,"Duke, 1992 *"
"1,2,3-TRIMETHYL-BENZENE",Zea mays,Silk Stigma Style,not available,not available,not available,"Duke, 1992 *"
"1,2,4-TRIMETHYL-BENZENE",Juglans nigra,Essential Oil,not available,3000.0,not available,"Duke, 1992 *"
"1,2,4-TRIMETHYL-BENZENE",Murraya koenigii,Leaf,not available,0.1,not available,"Duke, 1992 *"
"1,2,4-TRIMETHYL-BENZENE",Zea mays,Silk Stigma Style,not available,not available,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Camellia sinensis,Leaf,not available,not available,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Hyacinthus orientalis,Flower,0.0,0.5,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Zea mays,Hull Husk,not available,not available,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Zea mays,Husk Essent. Oil,not available,not available,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Camellia sinensis,Leaf,not available,not available,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Hyacinthus orientalis,Flower,0.0,0.5,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Zea mays,Hull Husk,not available,not available,not available,"Duke, 1992 *"
"1,2-DIMETHOXY-BENZENE",Zea mays,Husk Essent. Oil,not available,not available,not available,"Duke, 1992 *"
